well_no,well_name,owner,depth,aquifer_co,swl,pwsid,usgs_id,data_sourc,comments,aka2,aka3,chapid,grazing_di,welltype,well_use,well_statu,sdwa_type,nn_agency,USE,lat,long,Chapter,Al,Alkalinity_Total,As,Ba,Be,Bicarbonate,Bromide,Ca,Carbonate,Cd,Chloride,Conductivity,Corrosivity,Cr,Cu,DissolvedOxygen,Fe,Fluoride,Hardness,Hg,K,Mg,Mn,Mo,Na,Ni,Nitrate,Nitrite,Pb,pH,Phosphate,Ra_226,Ra_228,Ra_Total,Rn_222,Salinity,Sb,Se,Sn,SpecificConductance,Sr,Sulfate,Temperature,Tl,TotalDissolvedSolids,Turbidity,U,V,Zn
09-UNK-0025,"well, section 27, gray house",,0,"0",0,,0,,,,,"56","9",UNK,UNK,UNK,UWS,FortDefiance,Unknown,36.93251361,-109.66165472,Mexican Water,"50",,"1","23","1",,,"57",,"1",,"0.15",,"20","24","5","530",,,,"1.4","2.9","5","50","3.8","30","0.52",,"4","7.83",,,,,,"0",,"1",,,,,"18.5",,,"10","1",,"210"
09T-513,09 021-08.44X08.84,TRIBE O&M,16.5,"40",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"56","9",WW,DOM,INA,UWS,FortDefiance,Domestic,36.8713874817,-109.652893066,Mexican Water,"50",,"1","44","1",,,"110",,"1",,"0.265",,"20","5","9","10",,,,"1.2","5.4","2","50","5.1","30","7.6",,"1","7.94",,,,,,"100",,"2",,,,,"20.8",,,"10","1",,"10"
09T-582,,TRIBE O&M,78,"40",8,,0,WELL FILES-FIELD CHECKED,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"56","9",WW,LIV,ACT,UWS,FortDefiance,Livestock,36.9250640869,-109.622901917,Mexican Water,"50",,"1","51","1",,,"55",,"1",,"0.158",,"20","5","9","30",,,,"1.2","3.9","2","50","5.8","30","0.71",,"1","8.15",,,,,,"0",,"1",,,,,"22.5",,,"10","1",,"90"
09K-218,09 021-07.22X08.93,TRIBE O&M,517,"40",217,,0,WELL FILES-FIELD CHECKED,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"56","9",WW,LIV,ACT,UWS,FortDefiance,Livestock,36.8702354431,-109.630912781,Mexican Water,,,,,,,,,,,,"0.222",,,,"11",,,,,,,,,,,,,,"8.12",,,,,,"0",,,,,,,"17.4",,,"10",,,
09T-516,09 021-06.02X00.71,TRIBE O&M,217,"40",41.3,,0,WELL FILES-FIELD CHECKED,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"56","9",WW,LIV,ACT,UWS,FortDefiance,Livestock,36.989692688,-109.609794617,Mexican Water,"50",,"1","16","1",,,"15",,"1",,"0.167",,"20","5","8","30",,,,"1","1.1","2","50","30","30","1",,"2","8.09",,,,,,"0",,"8",,,,,"23.6",,,"9","4",,"50"
09T-542,,TRIBE O&M,55,"40",37,,0,FILES-FIELD CHECKED,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"56","9",WW,LIV,ACT,UWS,FortDefiance,Livestock,36.9078102112,-109.701049805,Mexican Water,"50",,"1","47","1",,,"73",,"1",,"0.191",,"20","15","9","80",,,,"1.2","2.3","2","50","7.4","30","1.1",,"1","8.05",,,,,,"0",,"1",,,,,"21",,,"10","1",,"150"
09T-544,09 021-09.38X06.31,TRIBE O&M,50,"0",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"56","9",OW,UNK,ACT,UWS,FortDefiance,Unknown,36.90832901,-109.669837952,Mexican Water,"50",,"1","38","1",,,"59",,"1",,"0.159",,"20","37","9","750",,,,"1.2","2.9","7","50","8","30","0.71",,"1","8.13",,,,,,"0",,"1",,,,,"2.06",,,"10","1",,"260"
19R-310,,TRIBE O&M,0,"0",392,,0,FIELD CHECKED-L. NOTAH,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"57","19",WW,LIV,ACT,UWS,Eastern,Livestock,36.1961326599,-107.748985291,Nageezi,,,,,,"180",,"1","71",,"6.4",,,,,,"230",,"5",,"2","0.6",,,"270",,"0.25",,,"9.8",,,,,,,,,,"1160",,"340",,,,,,,
19R-309,22N 09W   29 3443,TRIBE O&M,961,"0",324,,360612107485000,USGS ALB 04/08/86,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"57","19",WW,DOM,ACT,UWS,Eastern,Domestic,36.1033401489,-107.814239502,Nageezi,,,,,,"760",,"5","110",,"580",,,,,,"150",,"15",,"8","1.6",,,"760",,"1.7",,,"9",,,,,,,,,,"3560",,"72",,,,,,,
CHACO C 9,21N 09W   07 3334,TRIBE O&M,505,"16",100,,360336107502000,USGS ALB 04/08/86,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"57","19",WW,LIV,ACT,UWS,Eastern,Livestock,36.0600090027,-107.838951111,Nageezi,"12",,"0.4","6.37","0.04","538.5",,"37.8","2.3","0.12","32.75",,,"2","1.6","2.15","550",,"383.5",,"4.06","69.7","66.1","0.2","638","0.8","0.177",,"0.08","8.3",,,,,,,"0.24","1.7",,"3070","2410","1250",,"0.16",,,,"0.4","22.1"
00-1342,A-19-29 17ACB2,,465,"6",218.5,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0472412109,-109.286781311,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"1.41791044776119",,
00-1340,A-19-29 09AAC,,381,"6",323,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.063911438,-109.264556885,Nahat'A'Dzil,,,,,,"179",,"49","0",,"4.5",,,,,,"20","0.2","150",,"2.3","5.6",,,"11",,,,,"7.4",,,,,,,,,,"360",,"5.7","20",,,,"0.567164179104478",,
00-1346,A-19-30 36BCC,,600,"6",550,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0028038025,-109.120101929,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"1.7910447761194",,
00-1347,A-19-31 09CAC,,495,"6",445,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0555763245,-109.05897522,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,"2.08955223880597",,
00-1343,A-19-29 35CDB,,460,"6",385,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0000267029,-109.239555359,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"2.83582089552239",,
00-1385,A-20-25 28BAA,FITZGERALD,12,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.1105766296,-109.692626953,Nahat'A'Dzil,,,,,,"890",,"6.9",,,"20",,,,,,"20","4","21",,"1.4","0.9",,,"420",,"4.8","0.03",,,,,,,,,,,,"1710",,"170","16",,,,,,
00-1389,A-20-26 13DAC,,103,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,ACT,UWS,Shiprock,Livestock,35.1297454834,-109.525947571,Nahat'A'Dzil,,,,,,"561",,"76",,,"38",,,,,,"10","0.5","260",,"4.3","18",,,"170",,"0.09","0.1",,,,,,,,,,,,"1140",,"120","16",,,,,,
00-1348,A-19-31 18BBD,,632,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0500297546,-109.095092773,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"1.32835820895522",,
00-1384,A-20-25 15BCD,FITZGERALD,27,"2",13.8,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.1344604492,-109.678459167,Nahat'A'Dzil,,,,,,"653",,"4.9",,,"21",,,,,,"50","2.7","17",,"1.4","1.1",,,"340",,"6.2","0.03",,,,,,,,,,,,"1340",,"200","16",,,,,,
00-1392,A-20-26 23BDA,,0,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.1202926636,-109.551223755,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,"3.88059701492537",,
00-1400,A-20-27 08BBB,,137,"51",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,ACT,UWS,Shiprock,Livestock,35.1539039612,-109.50428009,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,"0.19","0.3","0.49",,,,,,,,,,,,,"94.0298507462687",,
00-1409,A-20-31 29ADC2,ROBERTS RA,600,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.1064186096,-109.071495056,Nahat'A'Dzil,,,,,,"158",,"48",,,"10",,,,,,"10","0.3","140",,"1.8","3.9",,,"12",,,,,"7",,,,,,,,,,"290",,"6.3","16.5",,,,"0.701492537313433",,
172-15,A-20-28 36AAA2,,136,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0952987671,-109.313995361,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"1.7910447761194",,
00-1407,A-20-29 08CAD,WALLACE C,158,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.1444664001,-109.289001465,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"1.34328358208955",,
00-1408,A-20-29 35DCD,ROBERTS RA,795,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0850257874,-109.23009491,Nahat'A'Dzil,,,,,,"178",,"43",,,"5.6",,,,,,"10","0.2","120",,"3.6","3.3",,,"16",,,,,"6",,,,,,,,,,"290",,"11","14.5",,,,"2.53731343283582",,
172-4,A-20-28 36AAA1,,0,"6",111.5,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.09557724,-109.312606812,Nahat'A'Dzil,,,,,,"166",,"31","0",,"8.2",,,,,,"20","0.7","110",,"3.2","7.4",,,"21",,,,,"7.7",,,,,,,,,,"280",,"11",,,,,,,
172-9,A-19-28 23DCD,,0,"6",106.5,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0247497559,-109.336219788,Nahat'A'Dzil,,,,,,"167",,,"0",,"6",,,,,,,,"65",,,,,,"1028",,,,,,,,,,,,,,,"309",,,,,,,,,
172-3,A-21-28 24CCC,,135,"2",31.8,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,ACT,UWS,Shiprock,Livestock,35.1964073181,-109.330940247,Nahat'A'Dzil,,,,,,"358",,"32","0",,"110",,,,,,"10","1.5","110",,"9.3","6.1",,,"220",,,,,"7.4",,,,,,,,,,"1150",,"110","13",,,,,,
172-30,A-19-28 28BDB,,450,"6",240,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0186386108,-109.378997803,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,,,,,,,,,,,"19.4029850746269",,
18-0661,,ONHIR,300,"0",185,,0,,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,ACT,UWS,Shiprock,Livestock,34.9579963684,-109.062110901,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"0.82089552238806",,
173-11,A-19-31 20BDB,UNKNOWN,600,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0355834961,-109.079536438,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"1.07462686567164",,
173-5,A-20-30 12ABD,ROBERTS BI,800,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.149471283,-109.109542847,Nahat'A'Dzil,,,,,,"123.5",,"34","0",,"14",,,,,,"50","0.45","104",,"1.9","4.15",,,"521",,"8.7",,,"7.3",,,,,,,,,,"280",,"8.15","16.25",,,,,,
GOODLUCK,A-20-28 33ADB,WALLACE C,103,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0911331177,-109.367889404,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,"2.23880597014925",,
PEPLOTE,A-20-27 01CDC,SPURLOCK,0,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,ACT,UWS,Shiprock,Livestock,35.1569633484,-109.429000854,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"4.77611940298507",,
,"515079","NAVAJO & HOPI INDIAN,",1176,"0",500,,0,,,,,"58","18",OW,OTH,UNK,UWS,Shiprock,Other,35.1684292514,-109.313287318,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"3.88059701492537",,
,"603639","ROBERTS,L W",200,"0",100,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,35.1741686707,-109.202118352,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"2.23880597014925",,
,"603640","ROBERTS,L W",200,"0",120,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,35.1615566608,-109.148916734,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,"1.7910447761194",,
,"603641","ROBERTS,L W",600,"0",300,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,35.150126013,-109.107568148,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"0.492537313432836",,
,"603642","ROBERTS,L W",500,"0",270,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,35.1033610684,-109.148351227,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"1.64179104477612",,
,"614337","BLM-PHOENIX DISTRICT,",340,"0",0,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,35.0087188158,-109.08535386,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"0.955223880597015",,
18-0657,NEW LANDS/ANTELOPE WELL,NTUA,915,"6",545,AZ 403102,0,FIELD CHECKED  06/93,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,MUN,ACT,REG,Shiprock,Municipal,35.047958374,-109.229385376,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"1.14925373134328",,
18-0658,NEW LANDS/BIG FLOWING WELL,NTUA,0,"0",0,AZ 403102,0,FIELD CHECKED  03/16/93,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,MUN,ACT,REG,Shiprock,Municipal,35.1197929382,-109.427047729,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"2.98507462686567",,
00-1345,A-19-30 18CAB,,420,"6",341.2,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,DOM,UNK,UWS,Shiprock,Domestic,35.044467926,-109.203437805,Nahat'A'Dzil,,,,,,"157",,"35","0",,"6.4",,,,,,"20","0.2","110",,"3.4","5.3",,,"15",,,,,"7.6",,,,,,,,,,"280",,"6.5",,,,,"2.38805970149254",,
00-1388,A-20-25 32DCC3,,32,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,MUN,UNK,REG,Shiprock,Municipal,35.0836257935,-109.709564209,Nahat'A'Dzil,,,,,,"530",,"56","0",,"575",,,,,,"0","1.9","200",,,"14",,,"1028",,,,,"8.1",,,,,,,,,,"3330",,"382",,,,,,,
BELL RNH 1,A-21-27 15AAB,UNKNOWN,81,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,DOM,UNK,UWS,Shiprock,Domestic,35.2280731201,-109.461227417,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"19.4029850746269",,
00-1278,A-18-29 26BDB,,430,"6",270,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.9361381531,-109.239555359,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"4.62686567164179",,
00-1272,A-18-27 06BCA,SPURLOCK,517,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.99168396,-109.522895813,Nahat'A'Dzil,,,,,,"180",,"16","0",,"35",,,,,,"140","0.5","51",,"1.8","2.7",,,"87",,,,,"7.6",,,,,,,,,,"460",,"18","17",,,,,,
00-1276,A-18-29 04CCB,,915,"64",725,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.9778060913,-109.267326355,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"3.13432835820896",,
00-1282,A-18-30 20CDD,,420,"6",359.8,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.9369735718,-109.182594299,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"3.58208955223881",,
00-1279,A-18-29 29BCC,,440,"6",379,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.9305839539,-109.29510498,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"3.88059701492537",,
00-1280,A-18-30 04CBC,,700,"6",521,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.9861412048,-109.170097351,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"2.53731343283582",,
00-1285,A-18-31 29BDB,,552,"22",364,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.9305877686,-109.072860718,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"2.53731343283582",,
00-1335,A-19-25 05ABB,FITZGERALD,0,"2",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,35.0811309814,-109.709007263,Nahat'A'Dzil,,,,,,"580",,"22",,,"190",,,,,,"10","1.7","80",,"1.4","6.1",,,"420",,"19","0.03",,,,,,,,,,,,"1750",,"230","17",,,,,,
00-1283,A-18-30 36ABC,,0,"6",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"58","18",WW,LIV,UNK,UWS,Shiprock,Livestock,34.9194717407,-109.108985901,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"2.83582089552239",,
,"628824","DOUBLE SPUR INC,",220,"0",160,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,35.0273221665,-109.449242246,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,,,,,,,,,,,"5.97014925373134",,
,"628833","DOUBLE SPUR INC,",500,"0",400,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,34.9764581484,-109.466747093,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,"3.88059701492537",,
,"628834","DOUBLE SPUR INC,",1000,"0",420,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,34.9762856097,-109.440460311,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"3.13432835820896",,
,"628828","DOUBLE SPUR INC,",280,"0",140,,0,,,,,"58","18",WW,IND,UNK,UWS,Shiprock,Independent,34.9909543061,-109.353688688,Nahat'A'Dzil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"4.62686567164179",,
,A-18-26 36AAD1,,0,"0",0,,345450109312000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,34.9139184947,-109.522884802,Nahat'A'Dzil,,,,,,"164",,"2.9","2",,"19",,,,,,"10","1","8",,"0.6","0.2",,,"84",,,,,"8.4",,,,,,,,,,"370",,"11","16.5",,,,,,
,A-20-27 36BBB,,0,"0",0,,350547109260000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.0964160377,-109.434271667,Nahat'A'Dzil,,,,,,"162",,"3.2","4",,"5.5",,,,,,"10","1.9","9",,"1.2","0.3",,,"67",,,,,"8.3",,,,,,,,,,"330",,"13","19",,,,,,
,A-20-27 24BDA1,,0,"0",0,,350717109253000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1214156769,-109.426493674,Nahat'A'Dzil,,,,,,"189",,"2.8",,,"3.1",,,,,,"10","0.7","9",,"1","0.4",,,"73",,,,,,,,,,,,,,,"300",,"10","15.5",,,,,,
,A-20-27 09CAD,,0,"0",0,,350842109284000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1450258081,-109.47927396,Nahat'A'Dzil,,,,,,"485",,"36","0",,"39",,,,,,"50","1.2","120",,"5","8.1",,,"240",,,,,"7.2",,,,,,,,,,"1220",,"200","17",,,,,,
,A-20-30 27DBD,,0,"0",0,,350608109084000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1022519639,-109.145648023,Nahat'A'Dzil,,,,,,"153",,"45",,,"7.7",,,,,,"20","0.4","130",,"1.9","3.6",,,"8",,,,,,,,,,,,,,,"280",,"8.3",,,,,,,
,A-20-29 20C    UNSURV,,0,"0",0,,350641109170000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1114173396,-109.285098278,Nahat'A'Dzil,,,"23","13","0.5",,,"2.8",,"1","2",,,,"1",,"12","2.1","8.08",,"1.9","0.25",,"1","72",,,,"5","9.15",,,,,,,,"2",,"329.5","40","11","21",,,,,"60","7"
,A-21-27 35CBA2,,0,"0",0,,351038109271000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1772477545,-109.452883871,Nahat'A'Dzil,"10",,"2","100",,,"0.17","63",,"2","43",,,,"2",,"290","0.7","212","0.1","2.3","6.83",,"5","120","6",,,"5","8.3",,,,,,,,"1",,"940","700","200",,,,,,"1","10"
,A-21-27 35CBA3,,0,"0",0,,351038109271000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1772477545,-109.452883871,Nahat'A'Dzil,,,,,,,"0.29","98",,,"75",,,,,,,"0.7","339",,"0.9","23",,,"170",,,,,"7.9",,,,,,,,,,"1360",,"370",,,,,,,
,A-20-30 03BBB,,0,"0",0,,350959109092000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1664170104,-109.155926081,Nahat'A'Dzil,,,,,,"142",,"41","0",,"13",,,,,,"10","0.2","120",,"3.1","3.5",,,"17",,,,,"7.5",,,,,,,,,,"300",,"12","22",,,,,,
,A-21-27 35CBA1,,0,"0",0,,351038109271000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1772477545,-109.452883871,Nahat'A'Dzil,"10",,"1","100",,,"0.22","67",,"1","40",,,,"1",,"1200","0.5","222","0.1","3.6","6.645",,"1","120","1",,"0.2","5","7.8","0.092",,,,,,,"1",,"976","920","230",,,,,,"1","10"
,A-21-27 35BDC3 CW-9,,0,"0",0,,351039109270000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1775255428,-109.450661573,Nahat'A'Dzil,"10",,"1","43",,,"0.22","93",,"2","50",,,,"1",,"7","0.5","324","0.1","2","11.034",,"3","150","2",,"0.1","5","8.2","0.031",,,,,,,"1",,"1200","1300","280",,,,"1.2",,"1","5"
,A-21-27 35BDC1 CW-1,,0,"0",0,,351043109270000,,,,,"58","0",UNK,UNK,UNK,UNK,Shiprock,Unknown,35.1786366291,-109.451494972,Nahat'A'Dzil,"30",,"5","800",,,"0.16","19",,"1","32",,,,"1",,"660","0.6","76.2","0.1","2.8","3.375",,"1","370","2",,,"5","8.1",,,,,,,,"1",,"1760","520","25",,,,,,"13","10"
